content,id,postDate,author
"Moreover, the fact that building_idis present in both datasets (training and test) and is identical there, means, that models are tuned separately to an each building. Here, if building_idwere not present, and there were only the parameters of different buildings, weather data, etc., that is, a model for an average building, then it really was an universal model. As for me, this is a disadvantage of setting the task of the contest itself. The contest authors will receive not an universal model for their energy modernization tasks, but a one and a half thousand models for individual buildings.",112872,2019-11-04 21:08:53,Vitalii Mokin
You inspire me ! Congrats for help kagglers ! Great @kyakovlev !✔️ ,112872,2019-10-17 23:56:08,CaesarLupum
Thanks for sharing. You help me to understand a lot,112872,2019-10-21 17:50:11,Bertram Gilfoyle
Gilfoyle you should be working on the new internet :D,112872,2019-10-21 19:27:26,Gunes Evitan
"M4 Forecasting Competition winner: Hybrid Exponential Smoothing-Recurrent Neural Networks (ES-RNN)
https://eng.uber.com/m4-forecasting-competition/
https://github.com/M4Competition/M4-methods/tree/slaweks_ES-RNN/118%20-%20slaweks17",112872,2019-10-16 19:03:53,Mileta
"Interesting, but as always -> there is no Silver bullet each dataset is unique and approaches differ a lot.",112872,2019-10-16 19:06:11,Konstantin Yakovlev
Glad to see you here @kyakovlev This competition has a very large data set. Can you focus on some memory optimization and resampling topics this time?,112872,2019-10-16 18:51:57,Gunes Evitan
"I'll try. Normally (IEEE competition) I'm too lazy to make huge optimisations - Base kernel preparation on kaggle kernels -> then pass all to Google Cloud and run 64cores/64GB machine predictions -> no memory issues and much faster. 
One thing I can recommend from start - use HDD space for storing ""intermediate"" results and dataframes (kaggle gives us 5GB per kernel).",112872,2019-10-16 19:01:32,Konstantin Yakovlev
"@gunesevitan I've added example how to use hdd during kernel training.
https://www.kaggle.com/kyakovlev/ashrae-baseline-lgbm
There is also example how to save model and make predictions for multiple models (kfold/seed).",112872,2019-10-18 18:32:35,Konstantin Yakovlev
Thanks about this revelation . I always used to think that everyone else is using kaggle kernel efficiently and I am the only one who find it difficult to use the kaggle kernel because memory/CPU limitation and random failures; May be I process is not efficient enough! ,112872,2019-10-22 05:47:28,arnab
"
Gold zone / 4 weeks before deadline
  Top 200 / 2 weeks before deadline

IEEE all over again…
Anything that affects medal zone should be kept private (at least during the last 3-4 weeks of the competition)",112872,2019-10-16 08:58:29,Stanislav Blinov
"
IEEE all over again…

Is it good or bad? I do think that 2-4 week is a safe time window to learn and adapt. I also think that kaggle is not about medals but about exchanging ideas and learn (learn during competition when you have ""mojo"" to do experiments and apply new knowledge).",112872,2019-10-16 09:06:33,Konstantin Yakovlev
"
Is it good or bad?

It's weird, but it's kinda both.
I agree with you in general, sharing and learning are good, they're what Kaggle is about.
But I'll also try to explain my personal position. I'm so good and fast to adapt as many here. Excluding work and everyday stuff, I have ~1-1.5 hours for kaggling per day, and not every day. Also I'm crazy dude that prefers to develop his algo's and implement new stuff by himself - not just fork-commit-submit or Nforks-combine-submit. Keeping this in mind, I have assburn everytime highscoring public kernel arrives, because I'd like to do things by myself and remain competitive. But that's my personal assburn and I have to live with it - ""if public script beats your model, than your model sucks"" :D

Top 200 / 2 weeks before deadline

I think this competition will have many team since it's tabular. Hence, there will be, say, 500ppl in medals. If you (not ""you"" personally, just somebody) will post kernel in top200 2 weeks before deadline, it may ruin the competition for participants like me, who don't have much time to spend and makes own models.
Oh, it all looks a bit messy, so, trying to summarize: I think that anything affecting medals shouldn't be posted during the last 3-4 weeks of the competition, for the sake of dudes like me. But that's my personal opinion, and I understand that I'm not alone here :)",112872,2019-10-16 09:56:34,Stanislav Blinov
"Actually, the competition host always benefits from such sharing. Strong straightforward combinations are shared openly and can be further improved or used for blending. This pushes everybody to look up for new ways to tackle the problem.
In the end, we get more knowledge and experience. And the host gets better and more variations of solutions.",112872,2019-10-16 10:37:24,Sergii
"@stanislavblinov, ideally I agree with everything you said and here is my take. Sharing of high scoring kernel is a mixed blessing.  On one hand if one is lazy, you can use that kernel and do nothing else which is a waste of time because you may not learn anything. If shared a month before the end of a competition, I personally use it as a motivation to improve my model so that I can beat its score. On the other extreme if there is not much sharing, only hard working people with a lot of time in their hands and those with domain knowledge will do better. For those that are like me and you who is only here to learn and enhance our knowledge whilst challenging our brains, it is 50-50 good and bad :-)
By the way I have been in some competitions where the highest scoring kernels have serious design flaws that sent everyone that used it down over 1000 places because they did not read and understand the codes. A good example is Home Credit Default Risk.",112872,2019-10-17 22:47:35,YaGana Sheriff-Hussaini
So no need to join before 2 weeks to deadline. Thanks.,112872,2019-10-16 13:38:20,Dieter
@christofhenkel please join before and do same as you did for Jigsaw competition. For such newbie as me (and many other kagglers) in NLP your posts were such a great source of learning.,112872,2019-10-16 13:41:52,Konstantin Yakovlev
"Thanks Very much, your summaries always provide so much guidance, appreciated.",112872,2019-12-14 23:44:04,C4rl05/V
Very useful!!,112872,2019-12-08 11:24:15,echo
Great job ! Thanks for sharing!,112872,2019-11-21 03:25:39,SHIBATA
"I have a confusion how to predict on test set which does not have the target encoding column that we created in the train set??
I have created target encoding features based on meter_reading value in the train set with respect to site_id and building_id",112872,2019-11-20 18:42:37,Nitish Gupta
"Very nice ! 
Thank you very much for all your effort to share on this competition! 
You have been so helpfull during all past days.",112872,2019-11-04 23:16:38,mezoganet
"We formed a team. Topic will be frozen for a while. Thank you for all your support. 
Good luck to you.
May the Kaggle be with you.",112872,2019-10-31 14:56:50,Konstantin Yakovlev
"As allways very impressive !
Thank you so muuch !",112872,2019-10-30 19:54:52,mezoganet
it is a great share， I have learned a lot from it,112872,2019-10-30 05:37:15,瓶子
Thanks a lot for sharing!,112872,2019-10-25 10:12:25,Daniel Izzudin
"Thank you so much! I'm participating in this competition for a project in my data mining course, and this is really helpful for planning it. ",112872,2019-10-25 00:10:51,James H
Thanks for sharing.,112872,2019-10-24 01:30:23,snarain
Thanks for sharing! It seems to be very useful!:),112872,2019-10-22 17:12:36,Владимир Туманов (ШАД Минск)
thanks for sharing info.,112872,2019-10-21 21:29:46,snarain
"Thanks for the sharing info.
That solved some of my annoying.",112872,2019-10-21 19:52:19,Siegfried Milcheis
Thanks for sharing!,112872,2019-10-21 10:16:07,Monika Panfil
"Oh wow. Thanks for putting all of this together. I also very much appreciate your active commenting on all the questions / comments! 👍 
Super helpful…",112872,2019-10-20 19:13:47,chmaxx
"Great read thanks a lot, I'm pretty sure you'll do similar to IEEE , all the best!",112872,2019-10-20 18:26:35,Firat Gonen
thx a lot!,112872,2019-10-20 02:17:58,leozhudd
@kyakovlev Thanks for the insights. These are truly some important points to start with!,112872,2019-10-19 02:57:04,adityajumde
Great work,112872,2019-10-18 21:23:19,Anjali Ramaprasad
Any one succeeded in using one hot encoding with categorical features ? My kernel crushes each time whenever i try,112872,2019-10-18 19:19:54,Khairul Islam
"if you use lgbm, you can try to set df[column].astype('categorical')
https://lightgbm.readthedocs.io/en/latest/Advanced-Topics.html
Categorical Feature Support section.
More info:

https://www.kaggle.com/c/ieee-fraud-detection/discussion/108575#626083
https://www.kaggle.com/c/ieee-fraud-detection/discussion/108575#624919


Your kernel crushes because even 1/0 (bool/int8) encoding 20M row dataset becoming HUGE in memory and there is no any reason (for current dataset) to use pure one-hot encoding when you have Catboost and Lgbm categorical option.",112872,2019-10-18 19:27:49,Konstantin Yakovlev
"Does data minification only reduces RAM usage, or it improves model training/predicting time too?",112872,2019-10-18 17:31:49,rossinEndrew
"For tree-based models no.
If I remember well (please correct me) fo lgbm we have such flow:

We have dataset with fp8 for example
lgbm will reserve memory for fp32
lgbm will train on fp8

The question here that we need as much free memory as possible for step 2 and minification helps here.
Probably you have noticed during lgbm training how memory usage jumps in the beginning of training round - this is exactly reservation step. 

NN is a different case. We can use fp16 training which is much faster (in most of cases) than fp32 training.",112872,2019-10-18 17:44:14,Konstantin Yakovlev
"Yes, I've noticed that jump in RAM in beginning of training with lgbm, really it's necessary to have free RAM in this step. Thanks for your clarifying answer.",112872,2019-10-18 18:30:57,rossinEndrew
"The spike occurs because when you create your lgb datasets, you're likely passing in a pandas dataframe. LGBM's python api converts everything to float64 IIRC. Try passing in a raw numpy array, and you might not see that occur. There's also a flag you can pass where it'll first write to disk rather than creating another copy of the dataframe in ram.",112872,2019-10-20 04:12:31,authman
"the competition host always benefits from such sharing. Strong straightforward combinations are shared openly and can be further improved or used for blending. 
In the end, we get more knowledge and experience. And the host gets better and more variations of solutions.👍 👍 ",112872,2019-10-18 06:11:19,Kuldeep  Arya
"After going through your solution in IEEE Fraud detection, I feel like I can actually do well in this. Thanks for sharing.",112872,2019-10-17 11:03:38,Kenechukwu
Great :),112872,2019-10-16 11:48:11,Raj Chowdhury
"Questions concerning weather data and timestamp.
Can you validate the weather data for all sites? (site_ids 0 through 15)
The weather data appears inconsistent with the timestamp. For example, at site 4, the peak daily temperature occurs between 9PM and midnight, while the daily low temperatures occur between 1PM and 3 PM. This is not an occasional occurrence, but a pattern that is evident throughout the year. Actual daily lows occur around the hour before sunrise, not 2PM. Actual daily highs occur in the mid-afternoon, not at night time. As the data is at odds with data from the national weather service (I can't find any data on the NWS site that supports temperature profiles like the ones given), it appears to be in error.
This calls into question weather at other sites. A glance reveals some patterns that are once again at odds with actual weather patterns. For example, at site 0 the temperature decreases well past sunrise, while at site 1, the temperature begins to increase well before sunrise.
The meter reading profiles appear consistent with consumption patterns from other data sources. Perhaps the times for the weather data are not local times, but then the weather profile and the meter reading profile are not in synch. Sometimes weather is provided not in local time but by GMT (London time). If this is the case, then the sites are not all in the USA, but lie in other countries. (That would create another problem because we would not know which holiday schedule to apply.)
One minor point, hourly meter readings normally indicate consumption at the end of the hour. I.e. a reading for 0200 indicates the consumption from 0100 to 0200. In this case, the annual data should begin with timestamp 2016-01-01 0100 and end with timestamp 2017-0101 0000. But your training sets all end at 2016-12-31 2300 which does not account for the final hour of the year.
Please give some insight on the weather and timestamps so that we can synchronize the meter reading and weather profiles.
Thank you",112884,2019-10-24 00:53:19,Arthur Mazer
Interesting findings!,112884,2019-10-24 02:48:38,S D
"@amazer @claytonmiller yes I found similar issues in this Notebook and opened a discussion topic for that. Maybe we can hear from you/the organizing team, the best course of action?",112884,2019-10-26 11:05:24,JimFonseca
"@claytonmiller Could you double check that the timestamps for weather data and meter reading are using the same timezone? My impression is that meter readings are using local time while weather data is using some other time zone.
See the thread here: https://www.kaggle.com/c/ashrae-energy-prediction/discussion/114447#latest-658783",112884,2019-10-26 15:32:17,S D
@sohier Maybe you could look into this?,112884,2019-10-31 14:31:28,S D
I am assuming that this additional complexity has been introduced to make the challenge interesting.,112884,2019-11-03 17:04:06,arnab
"Hi @claytonmiller 
as you can see at my kernel Starter ⚡ Great Energy Predictor 
I explain this.
How do you interpret meter_reading=0? no consume?
If you check the builing 0 (building_id = 0) you will see:

there is no information between January - May 2016 (months 1 to 5). meter_reading==0.
From June 2016 (month=6) we have information! 

In my opinion you started to measure the consume of that specific building in June 2016. 
In order to complete the database from 2016, you filled the other months with 0.
as @dmitriyguller  said:

Ignoring 0-values won't take care of the problem, it will make the problem different. Instead of under-estimating the energy use for a building with a stuttering meter, it will over-estimate it. Another problem is that we don't actually know whether zeroes are ignored or not, so how are we supposed to build the model intelligently?
  If I were to guess, I would say that the big CV-LB differences are due to either different behavior of zeroes in the test set, or different treatment of them. This is why I'm staying out of this competition: the bad choice of metric is going to turn it into nonsense. You're going to get a much bigger bang for the buck figuring out how to deal with zeroes than you will figuring out how to build an intelligent model.

probably you can't answer, but I had to try :)",112884,2019-10-17 14:25:44,Nanashi
"Hi @claytonmiller, could you provide some details around the meter time measurements and how they correspond to the weather measurements on a site-by-site basis?  There could be a consistent measurement methodology that you folks have employed (and are assuming), but in the wild, all that stuff depends on the utility and can vary greatly.  Similarly,  I'm assuming the readings are in kWh and temperature appears to be in celsius, but I don't really know.  What I'm afraid of is that there's an industrial site or big data center mixed in this dataset that has a substation level MWh meter.  This would throw off the models if one is trying to view information in aggregate.
Thanks!",112884,2019-10-26 03:32:59,Callisto
The goal of this competition (i.e. building a counterfactual model) is very reminiscent of Google's CausalImpact.,112884,2019-10-19 13:06:45,Max Halford
"Just out of curiosity , if it is ASHRAE - Great Energy Predictor III , where are Predictor I and Predictor II ?? 🙄 ",112884,2019-10-16 18:22:25,Khairul Islam
"Check out this overview of the previous competitions: https://www.kaggle.com/c/ashrae-energy-prediction/overview/prior-competitions
They were held in the 90's and the first one even had the contestants receiving floppy disks in the mail to compete :)",112884,2019-10-17 02:12:10,Clayton
What Clayton has mentioned elsewhere - Kaggle has the floppy disk data available for you to see if todays methods can beat the 90's.  ,112884,2019-10-20 18:48:35,PC Jimmmy
Right here!,112884,2019-10-21 16:33:50,Sohier Dane
"Looking forward to an interesting competition, @claytonmiller!
Some kagglers in another thread expressed concern regards to how 'production usable' models out of this competition would be if they incorporated weather information—in reality, only forecasts would be known at inference, yet we're seemingly given actual accurate weather information for up to two years into the future.
How do we reconcile this? If weather truly impacts energy usage, then model output should correlate to weather and without an accurate future two-year forecast, ASHRAE won't be able to do much with the results.",112884,2019-10-16 07:17:19,authman
"Ideally, the goal of the competition should have been to predict the energy usage 'X' days or 'W' weeks in advance, i.e. standing today, my model should be able to predict the energy consumption of the Xth day in future. That way, I don't the need the weather on the Xth day. 
Will be willing to hear your thoughts @claytonmiller ",112884,2019-10-16 09:23:43,arnab
"I think I kind of follow the purpose:
Developing energy savings has two key elements: Forecasting future energy usage without improvements, and forecasting energy use after a specific set of improvements have been implemented, like the installation and purchase of investment-grade meters, whose prices continue to fall.
So, here we are trying to ""forecast energy use after a specific set of improvements have been implemented"" and that's why the weather data is available. ",112884,2019-10-16 10:58:46,arnab
"As per publication provided by @claytonmiller 
""For example, long-term forecasting is usually retroactive as the energy savings prediction is focused on what energy the building would have consumed if the intervention had not taken place. This situation means that input variables such as weather are known and not forecasts themselves. ""
which I think answers your question?
Br,
Martin",112884,2019-10-16 22:43:36,Martin Elfstadius
"Hey @authman and @arnabbiswas1  -- @diginfo hit the nail on the head with his explanation of the goal of long term prediction in this context -- you can find more information from this publication: https://www.mdpi.com/2504-4990/1/3/56
There is a whole domain of performance contracting which uses retroactive long term prediction to quantify what energy consumption would have potentially occurred without an energy savings intervention",112884,2019-10-17 02:10:31,Clayton
"In 2009 I retired and was thinking about a new city/state to live in.  Being a data driver xx?% kind of guy I downloaded all the weather data for USA for a decade.  Than looked for city where it never got too hot or too cold.
When you plot a decade worth of temperatures for a city, the curve is very repeating.  So making a model of the next decade of weather for a city is pretty much only an issue of getting the data set.  Can't of course model climate change, but otherwise not that big of a task for design.  I would assume that such a data set can in fact be purchased so folks designing buildings know what cooling and heating load will occur.",112884,2019-10-20 18:54:10,PC Jimmmy
Do some of the buildings use a source of heat that is not accounted for in the meters?,112884,2019-10-20 16:36:42,S D
"To those considering the best algorithm to start with, consider starting with LightGBM.",112884,2019-10-24 06:55:28,Atharva Patel
Thanks for the hosting.,112884,2019-10-16 16:22:10,Naruhiko Nakanishi
"Hi! I ve a question about metering. Does every building include every meter that it orginaly have? Can we assume that if building has only electricity meter in the competition heating and cooling services  are also provided by electricity?
With Regards",112884,2019-12-10 20:28:22,Przemysław Rejczak
Thanks,112884,2019-10-20 09:07:10,TianBaojie
"Predictor III in the wild. Its called calculus, I have worked in construction for years, The Idea that its colder at night then in the day seems to blow these peoples minds away.",112884,2019-10-17 05:04:21,Craig William
This Comment was deleted.,112884,2019-11-04 08:25:30,No user
This Comment was deleted.,112884,2019-10-21 06:52:48,No user
"Consider the scenario laid out in this diagram. This competition simulates the modeling challenge presented at the end of the timeline when measured energy and weather conditions are known and the adjusted baseline energy must be calculated. 

For further details, I recommend reading this paper by @claytonmiller: https://www.mdpi.com/2504-4990/
Edit: Updated for clarity",112985,2019-10-17 20:51:17,Chris Balbach
"The second link isn't quite right! As it is, the one ending in just 2504-4990 links to a paper on an anti-tumor agent, titled ""Design, Synthesis and Applications of Hyaluronic Acid-Paclitaxel Bioconjugates"" by Francesca Leonelli, Angela La Bella, Luisa Maria Migneco and Rinaldo Marini Bettolo. 
The first link is correct, and the link address is: https://www.mdpi.com/2504-4990/1/3/56",112985,2019-10-22 17:37:10,Lindsey
"Hi Chris! Thanks for hosting this competition. I think it's going to be a lot of fun.
I was wondering if you could clear up some confusion about using actualized weather data in a time series competition.
As you said:

Our shared goals are to uncover (and disseminate to the public) current ""best practices"" for methods of time series predictions that can be useful in our domain.

But typically the best practice is to not actualized data from the future when trying to predict the future - and is considered to be ""Data leakage""
Is there something unique about this competition that makes using actualized weather data in the test set different? Or is it more so because that in a competitive setting there is no possible way to restrict the use of weather data?",112985,2019-10-16 13:59:25,Rob Mulla
"Hi @chrisbalbach 
Thanks!
Can you say whether the dataset has buildings that have\don't have these improvements that are supposed to save energy?
or whether some of the buildings have improvements installed during the train\test period?
Maybe a specific building has improvements that affect warm water and not electricity within the dataset?
Thanks!",112985,2019-10-17 08:19:08,AmirH
"Thanks for hosting this competition @chrisbalbach 
Could you inform us the location where this data was collected?
As holidays are massive outliers on the consumption and could greatly impact the predictability of the models (as your linked paper also points out).
Is the location break down similar to the one in the paper?
Thank you again already in advance.",112985,2019-10-18 11:39:51,Henrique Mendonça
"@chrisbalbach - A related question to Henrique's - also related to location - are the timestamps in local time or GMT? Also, is there an hour shift for DST in the timestamps? I suppose I can derive the time zone by fitting to known consumption patterns, but if you will provide that information, I can save the time..",112985,2019-10-23 23:16:23,Bill Holst
"Hi Rob
One of the 'real world' use cases for the types of prediction models that this competition is targeting are Energy Efficiency Investments to our built environment that are financed using ""Energy Performance Contracting"" (EPC) mechanisms. 
In an effort to increase the standardization (thus lower the costs) of EPC project delivery, the Efficiency Valuation Organization (EVO) has created and distributes ""best practice"" documents for the Measurement and Verification procedures incorporated into Energy Performance Contracts.  These documents and procedures are referred to as the International Performance Measurement and Verification Protocol (IPMVP). 
The details of IPMVP ""best-practice"" documents are behind a pay-wall, but the premise of how models that forecast energy usage can be seen here.
In short, the green area of the time series cartoon, between the forecast energy and the ""actual' (i.e. measured), energy, represents 'savings' related to a specific set of improvements financed under a Performance Contract agreement.
Hope that helps explain some of the ways we hope results from this competition will be able to be used - to improve the techniques currently used for forecasting energy usage, after improvements to a building have occurred. 
_Chris",112985,2019-10-16 22:07:16,Chris Balbach
Thanks for the hosting.,112985,2019-10-16 16:19:01,Naruhiko Nakanishi
sir how can be the row 41697600,112985,2019-12-18 01:34:47,Amit
great，thanks！,112985,2019-12-06 09:19:01,QKmichael
Awesome,112985,2019-11-18 15:05:53,Rohit Chauhan
Thanks for hosting!  I'm happy to see this competition  on Kaggle.,112985,2019-11-16 14:38:35,dachristi
Nice work! Thank you.,112985,2019-10-23 22:23:30,Agastya Kommanamanchi
"Thanks for hosting this interesting competition! In the description of the previous competition in 1994 it's stated that:

Six winning teams were formally recognized, all participants were asked to write an ASHRAE paper to document their efforts and to present at ASHRAE conferences. As a part of these efforts, over a dozen peer-reviewed papers were published and several software vendors incorporated the algorithms described in these papers.

I think I found what is the summarizing paper here: https://www.osti.gov/biblio/33315, but is there anything publicly available?",112985,2019-10-20 14:42:47,tahaum
We posted several of the papers written about the prior competitions with our rehost of the prior competition: https://www.kaggle.com/c/great-energy-predictor-shootout-i/data,112985,2019-10-21 16:32:17,Sohier Dane
"Ahh, didn't notice. Cheers!",112985,2019-10-23 20:01:29,tahaum
"I am noticed that there are two competitions of great energy predictor. Which data makes more sense? And Competition III data seems has some reading errors on meterreading. How could we know the result of this meterreading is not correct, which should not be included when training the model. In other words, any criteria or hinds that we could get?
BTW, when I loaded competition III data, I could not find any data dictionary to describe the columns. However, when I reviewed the other competitor's discussion, some of them seems have files for describing the data. For example, meter column is code: 0 means electricity, 1 is chilledwater, and so on. 
Thanks.",112985,2019-10-30 16:56:38,XiaoyingYu
The data dictionary is available in Data tab once you scroll down the full description,112985,2019-11-14 13:23:00,Aravindan Krishnan
"""The competition data have been anonymously donated to the competition by dozens of data
owners, worldwide""
https://www.ashrae.org/File%20Library/Technical%20Resources/Research/RT_REPORT_A19.r1.pdf
the original plan of train=2 year, test= 1 year may be better
(at least we can model the transition from dec to jan next year)",113338,2019-10-21 15:45:11,Heng CherKeng
Agree. Having 2 years of data in train and 1 year of data in test would make way more sense to me.,113338,2019-10-21 17:07:16,Alexey Pronin
Aren't there total 16 site_id in the dataset? Or am I missing something here?,113338,2019-10-21 03:58:12,Pratik Gandhi
I didn't check but if it starts at 0 and ends at 15 that would be 16 indeed!,113338,2019-10-21 13:02:45,S D
"I said ""suspiciously similar"", not ""equal"".",113338,2019-10-21 15:01:25,Alexey Pronin
Nice finding!! thank you.,113338,2019-10-27 10:45:10,corochann
"I try to visualize the air temperature by heatmap to check against weather data online, alot of yearly average temperature can be found in US cities itself. 
Most of the temperature peak around mid of the year, it should be northern region.
Check this out -> https://www.kaggle.com/c/ashrae-energy-prediction/discussion/113772#latest-654627 
and this kernel -> https://www.kaggle.com/ccjoshua/ashrae-airtemperature ",113338,2019-10-22 07:23:45,CC Joshua 
